,情感指数,
859,0.999975731,我们将加快工作，在落实场外衍生品（OTC）改革方面取得更多进展，包括鼓励各辖区在符合圣彼得堡峰会宣言共识的情况下互相认可对方监管
860,0.999935833,下一步，我们将努力按照各方同意的时间表，全面、持续地实施全球金融监管框架，同时将继续监测各辖区的实施进展
861,0.999467843,我们将继续监测各项行动和决策的效果，以确保全球监管框架的强有力，并与可持续增长融资相适应
862,0.992530456,我们欢迎FSB发布的关于改革及其实施效果的第一个年度报告
863,0.997483436,我们将继续就保持全球金融监管框架的强有力进行审议，就改革的落实进展、效果及与我们总体目标的一致性进行监测和评估，包括解决未预料到的实质性影响，特别是对新兴市场和发展中国家的影响
864,0.016613948,15．为在全球范围内实现公平、现代化的国际税收体系，我们核准《G20/OECD税基侵蚀和利润转移（BEPS）项目行动计划》中的一系列措施
865,0.308998614,广泛、持续地落实行动计划是确保BEPS项目取得成效的关键，特别是在跨境税收裁定的情报交换方面
866,0.574742298,因此，我们强烈敦促按时落实BEPS项目，并鼓励包括发展中国家在内的所有国家和辖区参与
867,0.999999714,为在全球监测BEPS项目的落实情况，我们呼吁OECD在2016年初前建立一套包容性框架，该框架将在平等参与的基础上纳入感兴趣并致力于实施BEPS项目的非G20国家和辖区，包括发展中经济体
868,0.99993067,我们欢迎IMF、OECD、联合国和世界银行集团为感兴趣的发展中经济体提供适当的技术援助，帮助其应对国内资源动员方面的挑战，也包括BEPS方面的挑战
869,0.75719896,我们认识到，感兴趣的非G20发展中国家实施BEPS行动计划的时机可能与其他国家不同，期待OECD和其他国际组织能够确保该框架适当考虑发展中国家的情况
870,0.983762036,我们在加强税收体系透明度方面不断取得进展，我们重申此前承诺，将于2017年或2018年底同各成员国和其他国家就税收情报开展应要求交换和自动交换
871,0.525004074,我们邀请其他辖区共同参与
872,0.984655076,我们支持提高发展中经济体在国际税收议程中的参与度
873,0.998158348,16．为支持增长和抗风险议程，我们将继续有效落实《2015－2016年G20反腐败行动计划》，促进国际社会形成对腐败问题的零容忍环境
874,0.80993677,我们核准《G20私营部门廉洁透明高级别原则》，帮助企业遵守道德和反腐败全球标准
875,0.004260319,确保公共部门的廉洁和透明至关重要
876,0.999849953,为此，我们核准《G20反腐败公开数据原则》和《G20推动公共采购廉洁原则》，欢迎正在开展的资产披露框架有关工作
877,0.999999801,我们将视需并依据国内法律体系，进一步加强在民事和行政程序上的国际合作，以此作为有效打击贿赂、支持腐败资产返还、拒绝为腐败官员及造成官员腐败的人提供避罪港的重要工具
878,0.542753825,我们欢迎发布《受益人所有权透明度落实计划》，并将为此继续努力
879,0.737774419,17．我们对2010年IMF份额和治理改革共识始终未能落实深感失望
880,0.973058592,2010年改革方案仍是我们关于IMF的最优先工作
881,0.964907103,我们敦促美国尽快批准改革方案
882,0.844917392,考虑到2010年改革方案目标，我们要求IMF完成过渡方案，尽快并尽可能地使份额分配达到第14次份额检查所确定的水平
883,0.362566036,包括新的份额计算公式在内的第15次份额检查应以第14次份额检查为基础
884,0.358894377,我们重申维护一个强有力、以份额为基础、资源充足的IMF的承诺
885,0.085507565,我们重申对所有国际金融机构领导人和高级领导层均应经由公开、透明、择优的程序任命的共识，并重申国际金融机构加强职员多样性的重要性
886,0.999983925,我们重申，特别提款权（SDR）货币篮子的构成应继续反映各国货币在全球贸易和金融系统中的作用，并期待完成对SDR估值方法的审议工作
887,0.582298961,18．我们欢迎在国际主权债券合同中加强集体行动条款和同权条款落实方面取得的进展
888,0.923914286,这将有利于提高主权债务重组的有序性和可预期性
889,0.97546532,我们要求IMF在征询其他相关方意见的基础上，继续促进上述条款的运用，并进一步探索采用市场化方式加快将上述条款加入到现有存量的未偿清国际主权债券中
890,0.999357948,我们期待即将开展的IMF和世界银行低收入国家债务可持续性框架审议
891,0.999988469,我们对以改善可持续融资实践为目标的现有倡议表示认可，这一目标在《亚的斯亚贝巴行动议程》也得到强调
892,0.879443357,我们也注意到巴黎论坛倡议
893,0.947507056,该倡议有利于加强主权债务国和债权国对话，进一步提高包容性
894,0.601833532,支持可持续性
895,0.999889781,19．2015年是可持续发展的关键之年，我们将继续致力于为实现包容和可持续发展作出贡献，包括在低收入国家和发展中国家
896,0.999997072,2030年可持续发展议程，包括可持续发展目标和《亚的斯亚贝巴行动议程》，为国际发展工作设定了一个转型、普遍、富有雄心的框架
897,0.999862326,我们积极承诺落实其各项成果，确保我们消除贫困的努力不使任何人被落下，为全人类创造一个包容、可持续的未来
898,0.999816762,我们核准《G20和低收入发展中国家框架》，以加强我们在发展领域的对话和参与
899,0.860572806,我们将在2016年制定行动计划，使我们的工作与2030年可持续发展议程更好衔接
900,0.999854086,20．我们今年的工作对可持续发展重点领域给予支持，例如能源可及性、粮食安全和营养、人力资源开发、高质量基础设施、普惠金融和国内资源动员
901,0.037219687,我们核可《G20粮食安全和可持续粮食系统行动计划》，强调将致力于提高全球粮食安全和营养，确保我们生产、消费和销售粮食的方式在经济、社会、环境等各方面的可持续性
902,0.999986042,我们仍将重视推动农业和粮食系统的负责任投资，提高市场透明度，增加收入和高质量就业，培育可持续的生产率增长
903,0.968834045,我们将会对小农、家庭农户、农村妇女和青年给予特别关注
904,0.006427663,今年我们也承诺降低全球粮食损失和浪费
905,0.997334969,我们欢迎米兰世博会以“给养地球，为生命加油”为主题
906,0.341818145,我们也欢迎G20农业部长作出决定，成立一个新平台，以推动G20和其他国家更好测算并减少粮食损失和浪费
907,0.959882164,21．私营部门在发展和消除贫困方面有很强作用
908,0.969287059,通过《G20包容性商业倡议》，我们强调所有相关方需要共同采取行动，帮助低收入人民和团体有更多机会作为购买者、供应者和消费者参与市场
909,0.986923159,我们今年制定的《G20国别侨汇计划》包含了降低全球平均侨汇成本至5%的具体行动，并同可持续发展目标和亚的斯亚贝巴行动议程相一致
910,0.997858159,我们正通过开放支付、储蓄、信贷和其他金融服务渠道的方式推动普惠金融
911,0.99985878,我们欢迎普惠金融全球伙伴关系在普惠金融领域持续开展的工作
912,0.056204161,22．我们高度关注《G20能源合作原则》，欢迎首届能源部长会召开
913,0.154149258,认识到超过11亿人电力缺乏及29亿人靠传统生物热源烹饪，我们支持《G20能源可及性行动计划：能源可及性自愿合作》
914,0.62719931,该计划第一阶段将重点提高问题最为严重的撒哈拉以南非洲电力可及性，旨在加强G20协调并建立可逐步适用于其他区域的长期自愿合作框架
915,0.998183051,在第一阶段，我们将在考虑各国需求和情况的基础上，同非洲国家和有关区域、国际组织在各方面开展合作，包括政策和监管环境、技术研发和应用、投资和融资、能力建设、区域一体化和合作等
916,0.009240601,23．我们认识到在能源领域采取行动，包括提高能效、增加清洁能源技术投入以及支持相关研发活动，对应对气候变化及其影响具有重要作用
917,0.177905457,我们核准《G20可再生能源开发自愿选择工具箱》
918,0.999259338,我们重视今年各参与国在推动能效合作方面所取得的进展，同意在自愿的基础上进一步支持今年各工作渠道的成果，包括汽车（尤其是重型载重卡车）能效及排放表现、联网设备、建筑、工业流程、发电和能效融资等领域所取得的成果
919,0.199161402,我们将继续发展包括天然气市场在内的透明、竞争和运转良好的能源市场
920,0.597830383,我们强调能源来源多样性和持续投资增强能源安全的重要性
921,0.983014179,我们重申致力于中期内逐步规范和取消低效的、鼓励浪费的化石燃料补贴，同时兼顾贫困者的需要
922,0.171985421,我们将努力推进有关进程力度，落实上述承诺
923,7.34E-05,我们要求能源部长们在2016年再次报告能源合作进展，以及继续落实G20能源合作原则的情况
924,0.999097199,24．气候变化是我们当代面临的最严峻的挑战之一
925,0.92111519,我们认识到2015年是采取有效、强有力和集体行动应对气候变化及其影响的关键之年
926,0.000414164,我们重申《利马气候行动倡议》关于控制气温升幅低于2摄氏度的目标
927,0.994913166,我们确认，决心通过一项在《联合国气候变化框架公约》下具有法律效力并适用于各方的议定书、法律文件或达成一致的成果
928,0.976917593,我们的行动是为了支持增长和可持续发展
929,0.983079583,我们强调，巴黎协议应当公平、均衡、富有雄心、可持续和有活力
930,0.995973616,我们强调致力于在巴黎达成富有雄心的协议，反映共同但有区别和各自能力原则，同时考虑各国不同国情
931,0.002124329,我们重申《联合国气候变化框架公约》是气候变化谈判的主要国际政府间机制
932,0.998571739,我们欢迎包括所有G20成员在内的超过160个国家向《联合国气候变化框架公约》提交国家自主贡献，并鼓励其他国家在巴黎大会前提交
933,0.965176831,我们已准备好落实国家自主贡献
934,0.880530765,我们指示谈判代表在未来数日里建设性和灵活性地参与讨论有关关键问题，包括减缓、适应、资金、技术研发和转让以及透明度等，以便在我们到达巴黎时能有一个解决方案
935,0.339137274,我们承诺共同努力推动《联合国气候变化框架公约》缔约方第二十一次会议取得成功
936,0.997640478,25．当前难民危机的规模引起全球对其在人道主义、政治、社会和经济等方面影响的关注
937,0.97508884,需要采取协调和全面措施应对这一危机及其长期效应
938,0.872974957,我们将继续努力，对世界各地史无前例数量的难民和国内流离失所人员提供保护和支持，寻求长期解决方案
939,0.996973283,我们呼吁所有国家都为应对上述危机做出贡献，共担责任，包括采取难民安置及其他形式的人道主义收容、援助等方式，帮助难民获得服务、教育和生活机会
940,0.99138575,我们强调需要解决这一流离失所的根源
941,0.871498703,在这方面，我们强调政治解决冲突、增进发展合作的重要性
942,0.930435849,我们认识到保障难民和国内流离失所者安全和帮助其按照个人意志返回家园的重要性
943,0.595074758,我们将同其他国家一道，加强管理移民和难民流的长期准备和能力
944,0.999859008,我们邀请各国，根据自身能力，加大对相关国际组织的支持，强化其帮助受影响国家应对危机的能力
945,0.978290557,我们鼓励私人部门和个人参与应对难民危机的国际行动
946,0.999741276,26．我们生活的互联网经济时代给全球增长同时带来机遇和挑战
947,0.997426461,我们认识到信息通信技术及其使用对安全的威胁，这种威胁削弱我们通过互联网促进世界经济增长和发展的能力
948,0.994577157,我们致力于消除数字鸿沟
949,0.998707892,如同在其他环境中，在信息通信技术环境，国家负有特殊责任，促进安全、稳定，密切同其他国家的经济联系
950,0.999994025,为支持实现上述目标，我们强调任何国家不应当为获取公司或商业部门竞争优势，而采取或支持窃取信息通信技术知识产权，包括贸易秘密和其他商业机密
951,0.999372836,所有支持安全使用信息通信技术的国家都应尊重和保护自由原则，使其免受非法和任意干涉隐私所扰，包括在数字通信的情况下
952,0.993159485,我们同样注意到联合国在制定相关规则方面的关键作用并欢迎2015年联合国信息安全问题政府专家组达成的报告，确认国际法，特别是联合国宪章，适用于国家行为和信息通信技术运用，并承诺所有国家应当遵守进一步确认自愿和非约束性的在使用信息通信技术方面的负责任国家行为准则，并同A/C.1/70/L.45号决议相一致
953,0.877504017,我们将致力于维护环境，确保所有参与者均能享受安全使用信息通信技术的益处
954,0.52173913,结论
955,0.999988117,27．我们将继续坚定地通过集体行动提高各国经济的实际和潜在增长率，促进就业，增强抗风险能力，促进发展，加强政策包容性
956,0.523407362,我们对土耳其担任G20主席国并成功举办安塔利亚峰会表示感谢
957,0.041411005,我们期待着在中国担任主席国期间，于2016年9月在杭州再会
958,0.944878944,我们也期待在德国举行2017年峰会
959,0.205750969,二十国集团领导人布里斯班峰会公报（2014年）
960,0.998218735,1、促进全球增长以提高各国人民生活水平、创造高质量就业，是我们最重要的任务
961,0.970920322,我们对一些主要经济体的更强劲增长势头表示欢迎
962,0.994370044,但全球经济复苏依然缓慢和不均衡，未能带来我们需要的就业
963,0.99991711,解决供给限制是释放经济增长潜力的关键，但世界经济也面临需求不足的制约
964,0.998106265,包括金融市场和地缘政治紧张等风险依然存在
965,0.577456127,因此，我们承诺本着伙伴关系开展工作，以促进增长、提高经济抗风险能力、加强全球机构
966,0.999993784,2、我们决心应对这些挑战，加快努力实现强劲、可持续、平衡增长并创造就业
967,0.999689797,我们认识到良好运行的市场是繁荣的基础，正在实施结构改革，以促进增长并激发私营部门活力
968,0.996304132,我们将保证宏观经济政策有利于支持增长、增加需求、促进全球再平衡
969,0.977090431,我们将在考虑近期经济状况的前提下，继续灵活落实财政战略，同时将债务占国内生产总值比例维持在可持续的水平
970,0.999254304,我们的货币政策当局已承诺在自身职责范围内，支持经济复苏，并在有需要的地区抗击通缩压力
971,0.707735778,我们将关注自身政策的全球影响，合作管控外溢效应
972,0.975941985,我们已准备好使用各种政策杠杆巩固市场信心和经济复苏
973,0.983736895,3、今年，我们制定了一个富有雄心的目标，即到2018年前使G20整体GDP额外增长2%以上
974,0.997818731,国际货币基金组织和经合组织研究表明，如果我们的政策承诺全部落实，G20GDP将额外增长2.1%
975,0.912142665,这将为全球经济创造超过2万亿美元财富，并增加数百万就业岗位
976,0.99999914,我们在增加投资、促进贸易和竞争、扩大就业方面的举措，以及我们的宏观经济政策，将支持发展与包容性增长，有助于解决不平等和减少贫困
977,0.999652787,4、我们促进增长、创造高质量就业的行动已经纳入了全面增长战略和《布里斯班行动计划》
978,0.890736446,为落实上述承诺并就实现增长目标取得实际进展，我们将相互监督问责，并借助国际组织的分析
979,0.981370367,我们将确保增长战略得以落实到位，并在下次峰会上审议工作进展
980,0.993192515,携手行动，促进增长和就业
981,0.997588835,5、解决全球投资和基础设施投资不足问题，对促进增长、创造就业和提高生产力至关重要
982,0.108787612,我们赞成“全球基础设施倡议”，该倡议是一个旨在提高公共和私人部门基础设施投资的多年期工作计划
983,0.999999072,我们的增长战略涵盖了主要的投资倡议，包括支持公共投资和改善国内投融资环境的行动，这些行动对吸引私人部门投资至关重要
984,0.999997629,我们同意在投资领域采取一系列自愿和率先垂范的示范做法，以推动并优化高质量投资，特别是基础设施投资
985,0.716063259,为帮助在投资者与项目间牵线搭桥，我们将解决数据缺失问题并改善项目信息渠道
986,0.999890368,我们将致力于加强机构投资者长期投资，鼓励包括透明的证券化在内的市场融资，尤其是为中小企业服务
987,0.958939262,我们将继续同多边开发银行合作，并鼓励各国开发银行，通过优化资产负债表的方式提供额外贷款，并确保G20在基础设施领域的工作惠及低收入国家
988,0.065410781,6、为支持落实上述倡议，我们同意成立为期四年的全球基础设施中心
989,0.995159502,该中心将致力于为政府、私人部门、开发银行和其他国际组织提供分享知识的平台和网络，并将促进上述各方的合作，以改善基础设施市场的运行和融资
990,0.97889636,7、为在发展中国家提升基础设施水平和吸引更多私营部门投资，我们欢迎世界银行发起成立全球基础设施基金
991,0.966673597,该基金将同我们的工作相互补充
992,0.122126527,我们支持其他开发银行的类似行动及彼此合作
993,0.9970644,8、贸易和竞争是促进增长、提高生活水平和创造就业的强大动力
994,0.988028915,当今世界，我们不仅交易最终产品，还通过进出口零部件和服务共同制造产品
995,0.995194752,我们的政策需要充分利用全球价值链、鼓励发展中国家更多参与其中并创造增加值
996,0.999999456,我们的增长战略包括通过降低成本、简化海关程序、减少监管负担、加强有利于贸易的服务等改革措施，以促进贸易便利化
997,0.985803482,我们正在促进竞争、创业和创新，包括降低新建企业和投资的准入门槛
998,0.036333071,我们重申反对贸易保护主义，以及暂不出台新的贸易保护主义措施并取消有关措施的一贯承诺
999,0.94963535,9、我们扩大投资、贸易和竞争的措施将带来高质量就业
1000,0.999257708,但我们必须为解决失业、提高劳动参与率和创造高质量就业付出更多努力
1001,0.998416927,我们同意了一个在充分考虑各国国情的基础上、缩小男女就业参与率差额的目标，即到2025年将该差额在目前基础上减少25%，以带动超过1亿女性就业，显著拉动全球增长并减少贫困和不平等
1002,0.511079035,10、我们坚定承诺降低高得无法接受的青年失业率，并确保年轻人接受教育、培训或雇佣
1003,0.999027846,我们的就业计划包括投资于学徒制、教育和培训，及激励招聘青年和鼓励创业的措施
1004,0.999949913,我们仍然关注非正式就业和结构性失业及长期失业问题，将通过加强劳动力市场及适当的社会保障体系加以解决
1005,0.55662343,我们将把改善工作场所安全和劳动者健康作为优先事项
1006,0.979494435,我们要求劳工和就业部长在就业工作组支持下，于2015年向我们报告进展情况
1007,0.997138533,11、我们致力于消除贫困和发展，确保我们的举措有利于低收入和发展中国家的包容性和可持续增长
1008,0.647436227,我们承诺采取强有力且务实的措施，降低全球侨汇平均成本至5%，并将提高金融包容性作为优先工作
1009,0.997204365,“G20粮食安全和营养框架”将通过增加对粮食系统的投资、提高生产力扩大粮食供给，增加收入和高质量就业，促进增长
1010,0.961592366,我们支持联合国就制定富有雄心的2015年后国际发展议程开展工作
1011,0.889016857,G20将通过促进经济增长和抗风险为此作出贡献
1012,0.748814919,建设更强劲、更抗风险的全球经济
1013,0.999870414,12、增强全球经济抗风险能力和金融体系稳定性对可持续增长和发展至关重要
1014,0.999378173,我们已兑现为应对金融危机所作承诺的关键部分
1015,0.999513697,我们改善银行资本和流动性状况、提高衍生品市场安全性的改革将减少金融体系风险
1016,0.667174633,我们欢迎金融稳定理事会关于要求全球系统重要性银行增加吸损能力的建议，使在这些银行倒闭时能进一步保护纳税人
1017,0.967331574,落实影子银行监管框架方面已取得进展，我们同意更新后的路线图以推进工作
1018,0.092586586,我们同意采取措施减少银行和非银行之间的风险传导渠道
1019,0.998438467,但为建设一个更强劲、更抗风险的金融体系，仍有重要工作要做
1020,0.999941661,目前的任务是完成政策框架中的剩余内容，全面落实已经商定的金融监管改革方案，同时对新风险保持警惕
1021,0.995373377,我们呼吁监管机构取得更实质的进步，更迅速落实已商定的G20金融衍生品市场改革
1022,0.980211856,我们鼓励各辖区依照圣彼得堡宣言，在合理情况下互相认可
1023,0.999948821,我们欢迎金融稳定理事会就上述改革落实进展及其影响进行报告，制定未来工作重点
1024,0.974187687,我们欢迎在增强主权债务重组有序性和可预见性方面取得的进展
1025,0.037351821,13、我们正在采取措施，确保国际税收体系公平，保障各国税基
1026,0.552811971,对经济利润课税时，应当在创造利润的经济活动发生地或价值创造地进行
1027,0.140235327,我们欢迎G20/经合组织提出的税基侵蚀和利润转移行动计划在推动国际税收规则现代化方面取得的重大进展，承诺在2015年完成有关工作
1028,0.574549474,我们欢迎在专利税方面取得的进展
1029,0.886123902,为防止跨境逃税，我们核准在对等基础上开展的税收情报自动交换全球统一报告标准
1030,0.908789389,根据各国完成必要立法程序情况，我们将于2017年或2018年底同各成员国和其他国家开展税收情报自动交换
1031,0.262534677,我们欢迎金融中心承诺采取相同行动，并呼吁所有相关方加入
1032,0.719430497,我们欢迎发展中国家深化参与税基侵蚀和利润转移项目，以解决其关切
1033,0.726455732,我们将同他们一道，建设其税收征管能力，并落实税收情报自动交换全球标准
1034,0.75924085,我们欢迎各国税收当局就跨境合规行为开展进一步合作
1035,0.888926085,14、我们核准支持增长和抗风险的《2015-2016年G20反腐败行动计划》
1036,0.9999775,我们正采取行动建设反腐败合作网络，包括加强司法互助，返还腐败资产，拒绝为腐败官员提供避罪港
1037,0.551371483,我们承诺提高公共和私营部门的所有权透明度，并通过落实《G20受益人所有权透明度高级别原则》，提高受益人所有权透明度
1038,0.416990562,加强全球机构
1039,0.559566893,15、二十国集团必须站在应对全球经济挑战的最前沿
1040,0.999459491,全球经济机构要有效率、有代表性，并反映世界经济的变化
1041,0.999626549,我们欢迎新兴市场国家增加在金融稳定理事会的代表性，以及其他增强理事会有效性的行动
1042,0.99611777,我们承诺维护一个强健、以份额为基础、资源充足的国际货币基金组织
1043,0.981918677,我们重申将继续落实圣彼得堡峰会承诺，并因此对2010年国际货币基金组织份额和治理结构改革、第15次份额总检查以及新份额共识的持续拖延深感失望
1044,0.940066198,落实2010年IMF改革方案仍然是我们最首要的任务
1045,0.985335001,我们敦促美国批准上述改革方案
1046,0.999944098,如今年底前未实现，我们将要求国际货币基金组织在现有工作基础上研拟下一步的政策选项
1047,0.999991303,16、我们需要一个在开放型世界经济中的强大贸易体制，以促进经济增长、创造就业
1048,0.999990285,为帮助工商界更好地利用贸易协定，我们将努力保证双边、区域和诸边贸易协定互为补充、透明，并为在世界贸易组织规则内建设更强大的多边贸易体制作出贡献
1049,0.987282638,这些规则依然是带来经济繁荣的全球贸易体制的基石
1050,0.999999163,一个能够应对当前和未来挑战的、充满活力、有效的世界贸易组织十分必要
1051,0.999723503,我们欢迎美国和印度协商取得的突破，这有助于全面、迅速落实贸易便利化协定
1052,0.867326346,这一突破也包括了粮食安全条款
1053,0.001739443,我们承诺落实巴厘一揽子协定所有内容，尽快确定世贸组织解决多哈回合谈判遗留问题的工作计划，以推动谈判重返轨道
1054,0.965778629,这对恢复各方对多边贸易体制的信任和信心十分重要
1055,0.492494454,我们将继续向需要帮助的发展中国家提供促贸援助
1056,0.035721497,17、加强能源合作是我们的工作重点
1057,0.320925226,国际能源市场正经历重要转变
1058,0.543287013,强劲并抗风险的能源市场对经济增长至关重要
1059,0.077888996,今天，我们核准了《G20能源合作原则》
1060,0.649430307,我们要求能源部长在2015年召开会议，并向我们报告关于推进这项工作的选项
1061,0.747848382,天然气在能源来源中愈发重要，我们将努力完善天然气市场的运行
1062,0.725086932,18、提高能效是应对增长和发展带来的需求增加的一个成本节约型的途径，也有助于提高能源可及性和能源安全
1063,0.910105132,这将降低企业经营和家庭生活成本
1064,0.276700438,我们就关于在能效方面自愿合作的行动计划达成一致，包括在改善汽车特别是重型卡车及网络设备能效和排放方面采取新措施，在建筑业、加工业、发电以及能效融资领域的举措
1065,0.3998266,我们重申逐步取消鼓励浪费的化石燃料补贴，同时对最贫困人群提供支持
1066,0.056818314,19、我们支持应对气候变化的强力有效举措
1067,0.999682906,我们的行动将根据联合国气候变化框架公约及其商定的成果，支持可持续发展、经济增长，稳定商业和投资环境
1068,0.999950381,我们将共同努力，在2015年巴黎联合国气候变化框架公约大会第21次缔约方会议上，形成一份在公约框架下适用于所有缔约方的议定书、其他形式的法律文书或具有法律效力的商定成果
1069,0.892853824,我们对有关缔约方准备在公约缔约方第21次会议之前（如准备好，可在2015年第一季度之前）通报国家自主决定的贡献表示鼓励
1070,0.032410116,我们重申支持为减缓和适应气候变化动员资金，例如绿色气候基金
1071,0.707925834,20、我们对埃博拉疫情爆发为几内亚、利比里亚、塞拉利昂带来的人道主义和经济影响深表关切
1072,0.999584362,我们支持国际社会采取紧急协调的应对措施，并已承诺将尽全力控制和应对危机
1073,0.998729423,我们呼吁国际金融机构帮助包括中东地区在内的受影响的国家应对埃博拉和其它人道主义危机带来的经济冲击
1074,0.993219249,21、我们将坚决履行推动经济增长、创造就业、促进发展和提振全球信心的承诺
1075,0.823342212,我们感谢主席国澳大利亚今年体现的领导力
1076,0.703871343,期待2015年在主席国土耳其任期内继续合作，并在土耳其安塔利亚举行的下届峰会上讨论工作进展
1077,0.831015562,我们期待2016年在中国举行峰会
1078,0.630037367,附件：需进一步采取行动的事项
1079,0.155521458,1、对于金融稳定理事会关于制定全球系统重要性银行额外吸损能力国际统一标准的建议，应在2015年峰会决定采取最终措施前，公开征求意见、进行严格的量化评估并进一步细化措施
1080,0.026555805,量化评估将考虑该标准对新兴市场国家银行业、总部在新兴市场国家的全球系统重要性银行以及国有银行的影响
1081,0.999942808,2、考虑到诉讼带来的挑战以及为加强主权债务重组进程的有序性和可预测性，我们欢迎国际社会就强化集体行动和同权条款开展的工作
1082,0.27601642,我们呼吁在国际主权债券中含有上述条款，并鼓励国际社会和私人部门付诸实践
1083,0.803851283,我们要求财长和央行行长讨论上述及相关问题的进展
1084,0.999551341,3、如果美国在2014年底前仍未批准2010年IMF改革方案，我们要求IMF立即研拟下一步行动方案，并要求财长和央行行长与国际货币金融委员会（IMFC）开展合作，在IMFC下次会议中讨论上述方案
1085,0.329627849,第八次：二十国集团圣彼得堡峰会领导人声明（2013年9月5-6日俄罗斯圣彼得堡）
1086,0.428571429,前言
1087,0.071723804,1、我们，二十国集团领导人，于2013年9月5-6日在圣彼得堡会晤
1088,0.889286342,我们团结一致，决定继续加强世界经济
1089,0.949126271,2、促进增长和就业是我们的首要任务
1090,0.999679926,我们完全致力于采取果断行动，重返就业机会充裕、强劲、可持续和平衡的增长之路
1091,0.999999068,3、自从我们五年前首次举行会晤以来，二十国集团成员协调一致采取行动，对于遏制金融危机、推动世界经济复苏发挥了至关重要的作用
1092,0.999992596,但我们的工作尚未完成，将共同致力于从当代最漫长的危机中稳步走出
1093,0.999999993,4、当务之急是增强全球复苏势头，推动更快增长，创造更好就业，巩固长期增长基础，同时避免采取扰乱复苏的政策，不以牺牲别国利益为代价来促进增长
1094,0.999947899,5、我们理解稳健、可持续的经济增长植根于不断增加并可预测的投资、信任和透明度，以及对市场政策和实践的有效监管
1095,0.988952758,6、作为世界主要经济体的领导人，我们共担加强市场开放和基于规则的全球经济体系的责任
1096,0.988933569,我们致力于在以下方面携手合作，应对全球经济重大挑战：
1097,0.53121933,在确保财政可持续的同时，实现更强劲的复苏
1098,0.998740291,我们通过了圣彼得堡行动计划，确立实现强劲、可持续、平衡增长的战略
1099,0.713793305,解决民众特别是青年人的失业和低就业
1100,0.783352971,我们共同力争实现更高质量和更多生产型就业
1101,0.999992982,协调整合的公共政策，包括宏观经济、金融、财政、教育、技能开发、创新、就业和社会保障等，对于实现该目标非常重要
1102,0.99928237,今天，我们致力于继续行动，支持包容性劳动力市场，分享各国根据国情而制定的国别计划和行动
1103,0.99999205,重视长期投资融资，包括为基础设施和中小企业融资以促进经济增长、创造就业和发展
1104,0.999778537,今天我们核可工作计划，帮助我们评估影响长期投资融资可及性的因素，并致力于确定和开始实施一系列集体和国别行动，以实质性改善国内投资环境
1105,0.999533012,通过自由和基于规则的贸易创造经济机会
1106,0.999750337,我们强调强劲的多边贸易体制的重要性，并呼吁所有世界贸易组织成员显示必要灵活性，推动今年的多边贸易谈判取得成功
1107,0.77376047,我们延长不采取贸易保护主义措施的承诺，增强贸易包括区域贸易协议的透明度
1108,0.011380993,跨境逃税避税侵蚀公共财政和民众对税收系统公平性的信任
1109,0.077250182,今天，我们核可有关计划以应对该问题，并承诺采取措施改善规则，以避免避税、恶意操作及恶意税收规划
1110,0.999763971,我们已达成并正在落实一系列金融改革，纠正导致危机的重要错误
1111,0.929037921,我们正构建更抗风险的金融机构，在消除“大而不能倒”金融机构问题上取得实质性进展，增加透明度和市场诚信，填补监管差距，应对影子银行带来的风险
1112,0.999222891,我们推动建立安全、可靠的金融体系，满足所有民众的需要
1113,0.996594157,二十国集团成员有责任确保所有人享有从强劲、可持续和平衡增长中获益的机会
1114,0.999880766,我们通过《圣彼得堡发展展望》，重点采取相关具体举措，增强粮食安全、金融包容性、基础设施、人力资源开发和国内资源动员
1115,0.999998699,腐败阻碍可持续经济增长和减贫，危害金融稳定和整体经济
1116,0.711804442,我们言出必行，将致力于落实二十国集团反腐败行动计划，打击国内外贿赂，应对高危部门腐败，加强国际合作，增强公共部门诚信和透明度
1117,0.99998281,鉴于对可持续和共同行动的需求，我们核可圣彼得堡反腐败战略框架
1118,0.704664048,我们在开发更清洁、更有效和更可靠的能源供应，以及更透明的大宗商品实体和金融市场方面有共同利益
1119,0.347635186,我们致力于加强能源合作，使能源数据更准确、更易获取，并采取措施支持开发清洁和高效能源技术，以提高市场效率，迈向更可持续的能源前景
1120,0.152993795,我们承诺共同努力，应对气候变化和保护环境这些需要全球性解决方案的全球性问题
1121,0.999971229,我们将继续研拟全面增长战略，在财政可持续的前提下，实现更强劲、更可持续、更平衡的增长
1122,0.647627509,7、太多人尚未参与全球经济复苏进程
1123,0.999992559,二十国集团不仅要推动强劲、可持续、平衡增长，还要推动包容性增长模式，以更好地调动全体民众的才智
1124,0.07533346,8、我们将继续寻求合作、协调和信心
1125,0.992694227,全球经济和二十国集团强劲、可持续和平衡增长框架
1126,0.975303478,9、我们已采取一系列重要政策措施，有效降低重大尾部风险，改善金融市场状况并支持经济持续复苏
1127,0.999890844,美国私人需求有所增强，日本和英国经济增长有所起色
1128,0.466779575,欧元区显现复苏迹象
1129,0.978508059,新兴经济体继续保持增长，但其中一些国家步伐放缓
1130,0.999995519,2013年全球经济增长预测值在过去一年中反复下调，全球再平衡并未完成，区域增长不平衡依旧突出，失业特别是青年失业仍处于令人无法接受的高位
1131,0.935270308,尽管我们采取了措施，但复苏仍然十分脆弱，下行风险不断积累
1132,0.961461034,过去数月，金融市场波动加剧
